drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
abrupt,5000,error_threshold,0.27,200,5,10,1,0.753,0.7726,0.7334,-0.0391999999999999,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,10,1,0.7366,0.7078,0.7654,0.057599999999999985,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,10,1,0.8022,0.8202,0.7842,-0.03600000000000003,5,1.0,0,5,456
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7497,0.7676,0.7318,-0.03579999999999994,5,1.0,5,0,42
abrupt,5000,error_threshold,0.27,200,5,100,5,0.7393,0.7164,0.7622,0.04579999999999995,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,100,5,0.8045,0.8202,0.7888,-0.031400000000000095,5,1.0,0,5,456
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7516,0.7766,0.7266,-0.04999999999999993,5,1.0,4,1,42
abrupt,5000,error_threshold,0.27,200,5,500,20,0.7357,0.7096,0.7618,0.052200000000000024,5,1.0,5,0,123
abrupt,5000,error_threshold,0.27,200,5,500,20,0.8024,0.8202,0.7846,-0.035600000000000076,4,0.8,0,4,456
abrupt,5000,error_threshold,0.27,200,10,10,1,0.7541,0.7746,0.7336,-0.040999999999999925,10,1.0,10,0,42
abrupt,5000,error_threshold,0.27,200,10,10,1,0.7348,0.7066,0.763,0.056400000000000006,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,10,1,0.8016,0.8202,0.783,-0.03720000000000001,10,1.0,0,10,456
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7542,0.7818,0.7266,-0.05520000000000003,10,1.0,7,3,42
abrupt,5000,error_threshold,0.27,200,10,100,5,0.7382,0.7174,0.759,0.04159999999999997,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,100,5,0.8034,0.8202,0.7866,-0.033600000000000074,5,0.5,0,5,456
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7523,0.7736,0.731,-0.04259999999999997,10,1.0,3,7,42
abrupt,5000,error_threshold,0.27,200,10,500,20,0.7439,0.7202,0.7676,0.0474,10,1.0,10,0,123
abrupt,5000,error_threshold,0.27,200,10,500,20,0.8011,0.8202,0.782,-0.03820000000000001,4,0.4,0,4,456
abrupt,5000,error_threshold,0.27,200,20,10,1,0.7509,0.767,0.7348,-0.032200000000000006,20,1.0,20,0,42
abrupt,5000,error_threshold,0.27,200,20,10,1,0.7353,0.7062,0.7644,0.05819999999999992,20,1.0,20,0,123
abrupt,5000,error_threshold,0.27,200,20,10,1,0.8005,0.8202,0.7808,-0.03939999999999999,20,1.0,0,20,456
